"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"234090","N/D","SCS1","Deputy Director - Main Building Modernisation/PFI","Responsible for driving cultural and behaviour change leading on pan-defence programmes including the Empowerment and Future Workplace programmes.","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","106029","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"106029","Rouse, Deana (Deana), Miss","SCS2","Director Resources HO&CF","Responsible for ensuring that policies and processes are in place across Defence to manage the Department's resources in accordance with financial delegations from Parliament, the Treasury and as set out in 'Managing Public Money' and other relevant Treasury and Cabinet Office policies, guidance and controls.","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","106000","0","1.00","110000","114999","","Project Delivery Profession","London","nan","1.00"
"57","N/D","SCS1","DIPR-HD","Advises on all issues related to Intellectual Property (IP) and the impact of export controls, specifically matters relating to technology transfer, IP strategies and agreements, positional advice on contractual disputes, and IP aspects of treaties.","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30033545","0","1.00","0","0","","Government Legal Profession","South West","nan","1.00"
"30011119","N/D","SCS1","Operational Fin-J2C-BldCap DDir","Responsible for building capability in finance operations","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","206135","0","0.65","0","0","","Government Finance Profession","South West","nan","1.00"
"30072270","Khalifa, Omar (Alex Khalifa), Mr","SCS2","NAD-CSM-Service-Director","NAD-CSM-Service-Director","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30026466","0","1.00","120000","124999","","Digital, Data and Technology Professions","London","nan","1.00"
"239451","Austen, Emma, Mrs","SCS2","COO-DDS-Director","Responsible for ensuring that policy and regulation are correctly set and kept up-to-date to provide Defence Organisations with the framework within which they can deliver safety.","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30033545","0","1.00","105000","109999","","Operational Delivery Profession","East Midlands","nan","1.00"
"30011525","N/D","SCS1","DARR-Relocation Casework Deputy Director","Responsible for Afghan relocation casework","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","268857","0","1.00","0","0","","Operational Delivery Profession","London","nan","1.00"
"30026466","Cooke, Kerry, Ms","SCS2","NAD-CSM-PFO Programme Director","Responsible for delivery of the Corporate Services Modernisation Programme","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","240919","0","1.00","105000","109999","","Project Delivery Profession","South West","nan","1.00"
"30034853","N/D","SCS1","DARR-Relocation Deputy Director","Responsible for the identification and relocation of Afghan Relocation & Assistance Policy eligible persons. Oversees the policy and processes for determining eligibility, developing routes, supporting Afghans in third countries, and then enabling their j","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","268857","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"139151","N/D","SCS1","Attorney General and Legal Adviser to SBAA","Based in Cyprus and responsible for the provision of all draft primary and secondary legislation, the prosecution of criminal offences, the conduct of civil litigation and the provision of legal advice and assistance.","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","5654","0","1.00","0","0","","Government Legal Profession","Overseas","nan","1.00"
"30045081","N/D","SCS1","DARR-DD Casework Transformation","Leading DARR Casework Transformation","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","268857","0","1.00","0","0","","Operational Delivery Profession","London","nan","1.00"
"30030690","N/D","SCS1","Defence Reform-PMO-DD","Responsible for the implementation of the Defence Design work","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","5654","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"111565","N/D","SCS1","Defence Reform-DD","Supports the Chief Operating Officer in his role as the Design Authority for the Defence Operating Model (DOM), checking the 'health' of the model, scrutinising any proposed future changes to the DOM, leading on initiatives such as the introduction of Functional Leadership, and gathering empirical evidence on how Defence is working and how it can be continuously improved.","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","5654","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"268857","Moore, Natalie (Natalie), Mrs","SCS2","Director DARR","As the Senior Responsible Owner for the Afghan Relocation & Assistance Policy (ARAP), deliver all activity under the policy to identify and relocate eligible Afghans to the UK","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30039224","0","1.00","105000","109999","","Policy Profession","London","nan","1.00"
"247862","N/D","SCS1","COO-DDS-DD","Senior leadership post within the Directorate of Defence Safety with responsibility for Governance, Assurance, Functional Risk Reporting and Defence Safety Policy","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","239451","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"30037949","N/D","SCS1","COO-DSR-DD Ops","Leads on defending Defence assets and people","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","226112","0","1.00","0","0","","Government Security Profession","London","nan","1.00"
"30038351","N/D","SCS1","DARR-Deputy Director-Contingency","Responsible for DARR contingency planning and interventions","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","268857","0","1.00","0","0","","Project Delivery Profession","London","nan","1.00"
"30031535","N/D","SCS1","DARR-Deputy Director-Relocations","Responsible for the identification and relocation of Afghan Relocation & Assistance Policy eligible persons. Oversees the policy and processes for determining eligibility, developing routes, supporting Afghans in third countries, and then enabling their j","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","268857","0","1.00","0","0","","Project Delivery Profession","London","nan","1.00"
"205401","N/D","SCS1","DSOP-EOS-Hd2","Deputy Director leading on Business Operations and Productivity","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","106029","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"30037980","N/D","OF-6","FCAS-CDIO","Future Capability Head","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","251170","0","1.00","0","0","","Digital, Data and Technology Professions","London","nan","1.00"
"30015823","N/D","OF-8","DCDS(Mil Cap) Personal","Acts as an identifiable, responsible and strong capability sponsor and generates and implements an affordable, balanced and coherent Equipment and Equipment Support Plan which is realistic and has agility.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","204200","27355588","1.00","0","0","","Military","London","nan","1.00"
"135904","N/D","OF-6","MSHQ-CFP-JtPlans-Hd","Responsible for resource planning and capability coherence for Joint Forces Command and Head Office.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30016275","0","1.00","0","0","","Military","London","nan","1.00"
"234921","N/D","OF-6","FCAS Programme Lead","FCAS Programme Lead","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","251170","0","1.00","0","0","","Military","London","nan","1.00"
"30022261","N/D","SCS1","Senior Responsible Owner Capability Delivery – Future Cruise / Anti-ship Weapon and Spear Cap 4","Senior Responsible Owner Capability Delivery – Future Cruise / Anti-ship Weapon and Spear Cap 4","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","137390","0","1.00","0","0","","Project Delivery Profession","South West","nan","1.00"
"30016275","N/D","OF-7","MSHQ-ACDS(CFP)","Assistant Chief of Defence Staff who heads up Carrier & Force Design","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30015823","0","1.00","0","0","","Military","London","nan","1.00"
"251170","Berthon, Richard (Richard), Mr","SCS2","FCAS Director","Responsible for the UK's strategic approach to acquiring future combat aircraft within a framework that will balance cost with military capability, international influence and economic and prosperity benefits.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30015823","0","1.00","115000","119999","","Policy Profession","London","nan","1.00"
"234906","Gordon, Nicholas (Nick ), Mr","SCS2","MSHQ-Fin Dir","MSHQ Finance Director, responsible for providing strategic financial leadership and oversight across Military Strategic Headquarters. The role ensures effective financial governance, robust control of budgets, and compliance with MOD financial policy, supporting senior leaders in the delivery of Defence priorities. The Finance Director leads the finance function, advises DCDS-level stakeholders on affordability, risk and value for money, and plays a key role in shaping financial strategy to enable operational effectiveness and long term sustainability.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","204200","0","1.00","120000","124999","","Government Finance Profession","London","nan","1.00"
"30022259","N/D","SCS1","Senior Responsible Owner Capability Delivery – Future Anti-Ship Guided Weapon","Senior Responsible Owner Capability Delivery – Future Cruise / Anti-ship Weapon and Spear Cap 4","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","137390","0","1.00","0","0","","Project Delivery Profession","London","nan","1.00"
"142074","N/D","OF-6","MSHQ-FFD-CapStrat-Hd","Responsible for overall capability coherence, force structure and performance management.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30016275","0","1.00","0","0","","Military","London","nan","1.00"
"221454","N/D","SCS1","Hd Int & Ind Strategy Lead","Leading International industrial strategy","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","137390","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"255202","N/D","SCS1","FCAS Strategy Head","The Portfolio Director for the Future Combat Air System is, on behalf of the senior responsible officer, for both the Future Combat Air System Acquisition Programme and Technology Initiative delivering the  future combat air solution replacing the UK Typhoon combat aircraft in the next decade.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","251170","0","1.00","0","0","","Project Delivery Profession","London","nan","1.00"
"30016017","N/D","OF-6","MSHQ Infra Dep Dir","Implementation of the Infrastructure Function and for the direction and assurance of the infrastructure system across the Department","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30015823","0","1.00","0","0","","Military","London","nan","1.00"
"30032821","N/D","SCS1","FCAS-PI-DD","Future Capability Head","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","251170","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"267120","N/D","SCS1","FMC-StratProgs-R&D Hd","Responsible for delivering an R&D system optimised to efficiently and effectively pull through R&D investment at pace into enduring military capability advantage; exploiting and enhancing the UK's position as a leading player in the field of Science and Technology.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","137390","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"234907","N/D","SCS1","MSHQ-Infra-DEO-Hd","The Defence Estate Optimisation Programme is a grouping of infrastructure reprovision programmes and projects and associated site disposals that will modernise and optimise the Defence Estate better to support the delivery of operational capabilities.  The programme will also deliver a range of strategic benefits such as land release for new housing and investment in UK prosperity.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30015823","0","1.00","0","0","","Government Property Profession","London","nan","1.00"
"220148","Cunningham, William (John), Mr","SCS2","Def Innov-Dir","Leads the development of international strategies for capability development across Defence, UK Government, UK industry and in the international arena.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","5654","0","1.00","105000","109999","","Policy Profession","London","nan","1.00"
"241910","N/D","SCS1","Hd Def & Sy Accelerator","Responsible for finding and funding exploitable innovations which support the defence and security of the UK faster and more effectively, and seek to generate economic value for the UK.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","220148","0","1.00","0","0","","Project Delivery Profession","London","nan","1.00"
"137390","N/D","SCS2","FMC- D STRAT PROG","FMC- D STRAT PROG","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","5654","0","1.00","110000","114999","","Policy Profession","London","Individual's name has been redacted for security purposes.","1.00"
"220959","N/D","SCS1","Def Innov-Head","Leads the development of international strategies for capability development across Defence, UK Government, UK industry and in the international arena.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","220148","0","1.00","0","0","","Project Delivery Profession","London","nan","1.00"
"216210","Paterson, Roderick (Rod), Mr","SCS2","NSO-CEO","Responsible for driving transformative change across the UK's shipbuilding enterprise by creating a strategic focus across government to champion the nation's shipbuilding ambitions and overseeing all of the government's interests in shipbuilding, from coordinating the long-term pipeline of government vessels to ensuring skills priorities are aligned across the enterprise.","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","5654","0","1.00","100000","104999","","Military","London","nan","1.00"
"264598","N/D","OF-6","NSO-Deputy Director","NSO-Deputy Director","Ministry of Defence","Ministry of Defence","LEVEL 2: DCDS MILCAP","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","216210","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"193138","N/D","OF-6","Managing Prosecutor Team 1","Managing Prosecutor Team 1","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30015304","0","1.00","0","0","","Military","London","nan","1.00"
"169882","N/D","SCS1","People-Sec-Hd","Responsible for policy matters relating to legislation, discipline, conduct and complaints within the Armed Forces.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","260672","0","0.57","0","0","","Policy Profession","London","nan","1.00"
"264460","N/D","SCS1","DDHR WFP & Resourcing","Responsible for all civilian workforce planning and resourcing issues.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","195772","0","1.00","0","0","","Human Resources Profession","London","nan","1.00"
"30039117","Helliwell, Helen (Helen), Mrs","SCS2","People-CEO-IG27","Leading the 2027 Invictus Games","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30033545","0","1.00","115000","119999","","Human Resources Profession","London","nan","1.00"
"247511","N/D","OF-6","People-DS Sec-Hons CECT-Hd","Assures delivery of Defence Ceremonial, events and Honours process","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30002257","0","1.00","0","0","","Military","London","nan","1.00"
"154691","N/D","SCS1","People-CivHR-PolReward Hd","Responsible for the policy on civilian employee relations and pay & allowances.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","195772","0","1.00","0","0","","Human Resources Profession","North West","nan","1.00"
"106181","Ball, Sarah (Sarah), Mrs","SCS2","Director AF People Policy","Directs the work of Armed Forces personnel in CDP's area, which includes day-to-day prioritisation in response to events, line management of the heads of the policy divisions, and facilitation of the policy formulation process through frequent dialogue with the policy divisions and their counterparts in the individual Services.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30033545","0","0.73","75000","79999","","Human Resources Profession","London","nan","1.00"
"260569","N/D","OF-6","People-Tx-RF30 Hd","Coheres and delivers the Reserve Forces 2030 programme","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","153392","0","1.00","0","0","","Military","London","nan","1.00"
"153395","N/D","OF-6","People-RFC-Res Hd","Coheres and delivers Reserve policy","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","153392","0","1.00","0","0","","Military","London","nan","1.00"
"112635","N/D","OF-6","People-AF Rem-Hd","Coheres and delivers all Service Personnel Remuneration, Allowances and Pensions policy","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","106181","0","1.00","0","0","","Military","London","nan","1.00"
"30073797","N/D","OF-7","ACDS People","Ensures that the right policies, strategies and legislation are in place so that Defence outputs are delivered by the right mix of capable and motivated people that reflect the breadth of society we exist to defend, now and in the future.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30015823","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"114344","N/D","OF-6","People-TESRR-Hd","Coheres and delivers all Training, Skills, Education, Recruitment and Resettlement policy for Service Personnel","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","195772","0","1.00","0","0","","Military","London","nan","1.00"
"30038333","N/D","OF-6","HQ AFR-Comd AFR","Responsible for delivering a single, common, tri-Service recruiting process for the Armed Forces","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30073797","0","1.00","0","0","","Military","South East","nan","1.00"
"213388","N/D","SCS1","People-Accom Hd","Responsible for the overarching policy relating to the provision of Service Family Accommodation (SFA), Single Living Accommodation (SLA) and the substitute equivalents on a worldwide basis, and takes primacy on all accommodation policy matters.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","106181","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"251598","N/D","SCS1","People-AFFS-Hd","Directs the work of Armed Forces personnel in CDP's area, which includes day-to-day prioritisation in response to events, line management of the heads of the policy divisions, and facilitation of the policy formulation process through frequent dialogue with the policy divisions and their counterparts in the individual Services.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","106181","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"30048044","N/D","OF-6","Provost Marshal (Serious Crime)","Responsible for maintaining discipline, order and law enforcement within military commands.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30073797","0","1.00","0","0","","Policy Profession","South East","nan","1.00"
"30044190","N/D","OF-6","People-Strategy Head","Responsible for developing the People Strategy","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30015304","0","1.00","0","0","","Policy Profession","London","nan","1.00"
"257009","N/D","OF-6","Diversity & Inclusion DD","Responsible for the military aspect of creating and sustaining an environment where people feel able to be authentic in the workplace, where everyone's needs are considered, and where everyone feels respected and able to achieve their full potential.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","260672","0","1.00","0","0","","Military","London","nan","1.00"
"30045523","N/D","SCS1","People-Civ HR-DD Cabinet Office Loan","Responsible for HR policy","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","195772","0","1.00","0","0","","Human Resources Profession","London","nan","1.00"
"241024","N/D","SCS1","People-Tx-DDaT","Responsible for the Digital, Data and Technology aspects of the People Transformation Programme.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","240919","0","1.00","0","0","","Digital, Data and Technology Professions","London","nan","1.00"
"153392","N/D","OF-7","People-RFC-ACDS RC","Assistant Chief Defence Staff of the Reserves and Cadets Directorate cohering and delivering Reserve and Cadet policy and their output","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","204200","0","1.00","0","0","","Military","London","nan","1.00"
"204501","N/D","OF-6","People-RFC-Youth & Cadets Head","Responsible for Youth and Cadets Reserve Forces Policy","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","153392","0","1.00","0","0","","Military","London","nan","1.00"
"30030349","N/D","OF-6","People-CivHR-WF-Hd","Responsible for workforce planning and performance","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","195772","0","1.00","0","0","","Human Resources Profession","London","nan","1.00"
"110655","N/D","SCS1","People-Med Adviser","Responsible for the provision of medical advice relating to Armed Forces people policy.","Ministry of Defence","Ministry of Defence","LEVEL 2: DEFENCE PEOPLE TEAM","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","106181","0","0.75","0","0","","Policy Profession","London","nan","1.00"
