"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"DFE-2130","N/D","SCS1","Deputy Director","Supporting and Rewarding Teachers and Leaders Deputy Director","Department for Education","Department for Education","Supporting and Rewarding Teachers and Leaders","0370 000 2288","N/D","DFE-2621","0","0.70","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2135","Gillian Hillier","SCS2","Director","Chief Executive of Standards and Testing Agency","Department for Education","Standard and Testing Agency","Standards, Testing and Regulation Directorate","0370 000 2288","N/D","DFE-2017","468930","1.00","110000","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2137","Sinead O'Sullivan","SCS3","Director General","Director General of Skills Group","Department for Education","Department for Education","Skills Group","0370 000 2288","N/D","DFE-2071","939769","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2144","Nigel Minns","SCS2","Director","Regions Group: East Midlands Director","Department for Education","Department for Education","Regions Group: East Midlands Director","0370 000 2288","N/D","DFE-2302","85394","1.00","150000","N/A","","Other","East Midlands","nan","1"
"DFE-2145","N/D","SCS1","Deputy Director","News and Social Media Deputy Director","Department for Education","Department for Education","News and Social Media","0370 000 2288","N/D","DFE-2098","1682668","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2151","N/D","SCS1","Deputy Director","Financial Business Partnering: Schools, Families, Regions and Hub Deputy Director","Department for Education","Department for Education","Financial Business Partnering: Schools, Families, Regions and Hub","0370 000 2288","N/D","DFE-2159","1128438","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2152","N/D","SCS1","Deputy Director","Family Analysis Deputy Director","Department for Education","Department for Education","Families Analysis","0370 000 2288","N/D","DFE-2078","4307234","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2159","Anne Spinali","SCS2","Director","Director of Strategic Finance","Department for Education","Department for Education","Strategic Finance","0370 000 2288","N/D","DFE-2536","714633","1.00","115000","N/A","","Other","London","nan","1"
"DFE-2162","N/D","SCS1","Deputy Director","Capability, Investments, Analysis and Reporting Deputy Director","Department for Education","Department for Education","Capability, Investments, Analysis and Reporting","0370 000 2288","N/D","DFE-2565","1684610","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2163","N/D","SCS1","Deputy Director","Strategic Communications and Campaigns Deputy Director","Department for Education","Department for Education","Strategic Communications and Campaigns","0370 000 2288","N/D","DFE-2098","3028288","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2173","N/D","SCS1","Deputy Director","Specialist Restructuring Deputy Director","Department for Education","Department for Education","Specialist Restructuring","0370 000 2288","N/D","DFE-2562","2102558","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2183","N/D","SCS1","Deputy Director","Teaching Workforce Teaching Analysis Deputy Director","Department for Education","Department for Education","Teaching Workforce Teaching Analysis","0370 000 2288","N/D","DFE-2621","2828844","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2185","N/D","SCS1","Deputy Director","Sector Reporting Deputy Director","Department for Education","Department for Education","Sector Reporting","0370 000 2288","N/D","DFE-2565","1595532","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2192","N/D","SCS1","Deputy Director","Assurance Deputy Director","Department for Education","Department for Education","Assurance","0370 000 2288","N/D","DFE-2562","2409366","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2197","N/D","SCS1","Deputy Director","Regions Deputy Director","Department for Education","Skills England","Regions","0370 000 2288","N/D","DFE-2682","1583633","1.00","N/A","N/A","","Other","East Midlands","nan","1"
"DFE-2198","Lindsey Henning","SCS2","Director","Schools Financial Support & Oversight Director","Department for Education","Department for Education","Regions Group: Schools Financial Support & Oversight","0370 000 2288","N/D","DFE-2302","265869","1.00","110000","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2200","N/D","SCS1","Deputy Director","Financial Operations Deputy Director","Department for Education","Department for Education","Financial Operations","0370 000 2288","N/D","DFE-2565","2819729","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2202","N/D","SCS1","Deputy Director","SFSO Central Division Deputy Director","Department for Education","Department for Education","SFSO Central Division","0370 000 2288","N/D","DFE-2198","2583591","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2207","N/D","SCS1","Deputy Director","Estates Legal, Land and Planning Deputy Director","Department for Education","Department for Education","Education Estates Legal, Land and Planning","0370 000 2288","N/D","DFE-2598","4470053","1.00","N/A","N/A","","Other","Unknown","nan","1"
"DFE-2208","N/D","SCS1","Deputy Director","Estates Design, Engineering, Cost and Building Technology Deputy Director","Department for Education","Department for Education","Education Estates Estates Sustainability, Standards and Innovation Unit","0370 000 2288","N/D","DFE-2598","7596593","1.00","N/A","N/A","","Other","Unknown","nan","1"
"DFE-2211","N/D","SCS1","Deputy Director","Estates Private Finance Deputy Director","Department for Education","Department for Education","Education Estates Private Finance","0370 000 2288","N/D","DFE-2598","1308400","1.00","N/A","N/A","","Other","Unknown","nan","1"
"DFE-2212","N/D","SCS1","Deputy Director","Regulation and Quality Deputy Director","Department for Education","Department for Education","Schools Regulation and Quality","0370 000 2288","N/D","DFE-2312","1065773","0.60","N/A","N/A","","Other","North West","nan","1"
"DFE-2215","N/D","SCS1","Deputy Director","Teaching Regulation Agency Deputy Director","Department for Education","Teaching Regulation Agency","Teaching Regulation Agency","0370 000 2288","N/D","DFE-2135","2782626","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2218","N/D","SCS1","Deputy Director","FE Workforce Deputy Director","Department for Education","Department for Education","Further Education Workforce","0370 000 2288","N/D","DFE-2019","0","0.60","N/A","N/A","","Other","London","nan","1"
"DFE-2221","Carolan Goggin","SCS2","Director","Regions Group: National Director","Department for Education","Department for Education","Regions Group: National","0370 000 2288","N/D","DFE-2302","0","0.90","95000","N/A","","Other","North West","nan","1"
"DFE-2222","N/D","SCS1","Deputy Director","Construction Delivery South East and London Deputy Director","Department for Education","Department for Education","Construction Delivery South East and London","0370 000 2288","N/D","DFE-2568","139355","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2223","N/D","SCS1","Deputy Director","Improvement and Insight Deputy Director","Department for Education","Department for Education","Improvement and Insight","0370 000 2288","N/D","DFE-2565","1478106","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2224","N/D","SCS1","Deputy Director","School System Accountability Deputy Director","Department for Education","Department for Education","Schools System Accountability","0370 000 2288","N/D","DFE-2312","1607905","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2228","N/D","SCS1","Deputy Director","Central Capital Unit Deputy Director","Department for Education","Department for Education","Central Capital Unit","0370 000 2288","N/D","DFE-2159","1313356","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2231","N/D","SCS1","Deputy Director","Access, Participation and Applications​ Deputy Director","Department for Education","Department for Education","SEND and NEETs Division","0370 000 2288","N/D","DFE-2306","1069913","1.00","N/A","N/A","","Other","South West","nan","1"
"DFE-2232","N/D","SCS1","Deputy Director","Young Futures, Educational Engagement and Serious Violence Deputy Director","Department for Education","Department for Education","Familiies Group","0370 000 2288","N/D","DFE-2546","0","0.60","N/A","N/A","","Other","London","nan","1"
"DFE-2238","N/D","SCS1","Deputy Director","Central Analysis Unit Deputy Director","Department for Education","Department for Education","Central Analysis Unit","0370 000 2288","N/D","DFE-2534","2439705","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2239","N/D","SCS1","Deputy Director","Higher Education Strategy and Portfolio Deputy Director","Department for Education","Department for Education","Higher Education Strategy and Portfolio","0370 000 2288","N/D","DFE-2307","1754087","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2240","N/D","SCS1","Deputy Director","Early Years Improvement Division Deputy Director","Department for Education","Department for Education","Early Years Improvement Division","0370 000 2288","N/D","DFE-2655","2359574","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2249","N/D","SCS1","Deputy Director","Ministerial and Public Communications Division Deputy Director","Department for Education","Department for Education","Ministerial and Public Communications Division","0370 000 2288","N/D","DFE-2098","3580735","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2257","N/D","SCS1","Deputy Director","Private Office Deputy Director","Department for Education","Department for Education","Strategy Group","0370 000 2288","N/D","DFE-2543","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2275","Alan Parnum","SCS2","Director","Regions Group: London Director","Department for Education","Department for Education","Regions Group: London","0370 000 2288","N/D","DFE-2302","2785345","1.00","100000","N/A","","Other","London","nan","1"
"DFE-2277","N/D","SCS1","Deputy Director","Strategy and Portfolio Deputy Director","Department for Education","Department for Education","Strategy and Portfolio","0370 000 2288","N/D","DFE-2621","1376909","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2279","N/D","SCS1","Deputy Director","Regions Group: National Deputy Director","Department for Education","Department for Education","Regions Group: National","0370 000 2288","N/D","DFE-2577","3161998","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2281","N/D","SCS1","Deputy Director","Infrastructure & Platforms Deputy Director","Department for Education","Department for Education","Infrastructure & Platforms","0370 000 2288","N/D","DFE-2124","5037749","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2290","N/D","SCS1","Deputy Director","Counter Fraud and Prevention Deputy Director","Department for Education","Department for Education","Counter Fraud  and Prevention","0370 000 2288","N/D","DFE-2562","2533538","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2292","N/D","SCS1","Deputy Director","Operational Excellence Deputy Director","Department for Education","Department for Education","Funding Operations","0370 000 2288","N/D","DFE-2562","5071816","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2298","Claire Burton","SCS2","Director","Director of Inclusive Mainstream","Department for Education","Department for Education","SEND and Alternative Provision","0370 000 2288","N/D","DFE-2017","539716","1.00","115000","N/A","","Other","London","nan","1"
"DFE-2299","N/D","SCS1","Deputy Director","Job Share - CSC Looked After Children Placements Deputy Director","Department for Education","Department for Education","CSC Looked After Children Placements","0370 000 2288","N/D","DFE-2671","1391968","1.00","N/A","N/A","","Other","London","Job Share","1"
"DFE-2299","N/D","SCS1","Deputy Director","Job Share - CSC Looked After Children Placements Deputy Director","Department for Education","Department for Education","CSC Looked After Children Placements","0370 000 2288","N/D","DFE-2671","1391968","1.00","N/A","N/A","","Other","London","Job Share","1"
"DFE-2302","Timothy Coulson","SCS3","Director General","Director General of Regions Group","Department for Education","Department for Education","Regions Group","0370 000 2288","N/D","DFE-2071","1376760","1.00","160000","N/A","","Other","London","nan","1"
"DFE-2306","Hannah Sheehan","SCS2","Director","Director of Skills Journey","Department for Education","Department for Education","International and Student Experience Directorate","0370 000 2288","N/D","DFE-2137","540228","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2307","Patrick Curry","SCS2","Director","Director of Higher Education Oversight","Department for Education","Department for Education","Higher Education Oversight","0370 000 2288","N/D","DFE-2137","675547","1.00","110000","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2311","N/D","SCS1","Deputy Director","Sustainability and Strategic Projects Deputy Director","Department for Education","Department for Education","Sustainability and Strategic Projects","0370 000 2288","N/D","DFE-2517","987175","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2312","Alex Marsh","SCS2","Director","Director of School Analysis Systems and Strategy","Department for Education","Department for Education","School Analysis Systems and Strategy","0370 000 2288","N/D","DFE-2017","403771","1.00","115000","N/A","","Other","London","nan","1"
"DFE-2317","Roger Cotes","SCS2","Director","Director of Regional Performance","Department for Education","Department for Education","HE FE Improvement and Intervention Division","0370 000 2288","N/D","DFE-2137","1524026","1.00","105000","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2320","Shazia Hussain","SCS2","Director","Director of Safeguarding and Workforce","Department for Education","Department for Education","CSC Safeguarding and Workforce","0370 000 2288","N/D","DFE-2101","525681","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2324","N/D","SCS1","Deputy Director","High Quality Curriculum Deputy Director","Department for Education","Department for Education","Schools Group","0370 000 2288","N/D","DFE-2385","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2326","Sophie Taylor","SCS2","Director","Director of Educational Engagement, Access and Wellbeing","Department for Education","Department for Education","Educational Engagement, Access and Wellbeing (EEAW)","0370 000 2288","N/D","DFE-2017","2004818","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2327","N/D","SCS1","Deputy Director","Digital Strategy Deputy Director","Department for Education","Department for Education","Digital Delivery - Regions","0370 000 2288","N/D","DFE-2124","747080","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2332","N/D","SCS1","Deputy Director","Northern Division Deputy Director","Department for Education","Department for Education","Skills Group","0370 000 2288","N/D","DFE-2317","0","1.00","N/A","N/A","","Other","Unknown","nan","1"
"DFE-2334","N/D","SCS1","Deputy Director","Customer Success & Shared Service Operations Deputy Director","Department for Education","Department for Education","Customer Success & Shared Service Operations","0370 000 2288","N/D","DFE-2124","2470626","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2337","N/D","SCS1","Deputy Director","CSC Child Protection and Safeguarding Deputy Director","Department for Education","Department for Education","CSC Child Protection and Safeguarding","0370 000 2288","N/D","DFE-2320","2048795","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2341","N/D","SCS1","Deputy Director","Strategy and Qualifications Deputy Director","Department for Education","Department for Education","Strategy and Qualifications","0370 000 2288","N/D","DFE-2385","1259733","0.90","N/A","N/A","","Other","London","nan","1"
"DFE-2344","N/D","SCS1","Deputy Director","Construction Grants, Assurance and Response Deputy Director","Department for Education","Department for Education","Construction Grants, Assurance and Response","0370 000 2288","N/D","DFE-2598","2510059","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2346","N/D","SCS1","Deputy Director","Admissions, School Organisation, Transport Deputy Director","Department for Education","Department for Education","Admissions, School Organisation, Transport","0370 000 2288","N/D","DFE-2326","1324081","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2347","N/D","SCS1","Deputy Director","CSC Outcomes, Care Leavers and Capital Deputy Director","Department for Education","Department for Education","CSC Outcomes, Care Leavers and Capital","0370 000 2288","N/D","DFE-2671","1538269","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2349","N/D","SCS1","Deputy Director","Stakeholder Engagement Deputy Director","Department for Education","Department for Education","Stakeholder Engagement","0370 000 2288","N/D","DFE-2497","934969","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2353","N/D","SCS1","Deputy Director","Specialist Sector Reform Deputy Director","Department for Education","Department for Education","Specialist Sector Reform","0370 000 2288","N/D","DFE-2298","1167298","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2355","N/D","SCS1","Deputy Director","Commercial Operations Deputy Director","Department for Education","Department for Education","Commercial Operations","0370 000 2288","N/D","DFE-2536","2195068","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2367","Gemma Peck","SCS2","Director","Director of Skills Strategy & Engagement","Department for Education","Department for Education","Skills Strategy and Engagement","0370 000 2288","N/D","DFE-2137","2780229","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2368","N/D","SCS1","Deputy Director","Internal Comms and GCS Change Deputy Director","Department for Education","Department for Education","Internal Comms and GCS Change","0370 000 2288","N/D","DFE-2098","309598","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2369","N/D","SCS1","Deputy Director","Job Share - DfE Inquiry Response Deputy Director","Department for Education","Department for Education","DfE Inquiry Response","0370 000 2288","N/D","DFE-2633","898636","1.00","N/A","N/A","","Other","London","Job Share","1"
"DFE-2369","N/D","SCS1","Deputy Director","Job Share - DfE Inquiry Response Deputy Director","Department for Education","Department for Education","DfE Inquiry Response","0370 000 2288","N/D","DFE-2633","898636","1.00","N/A","N/A","","Other","London","Job Share","1"
"DFE-2382","N/D","SCS1","Deputy Director","Rapid Response Co-ordination Deputy Director","Department for Education","Department for Education","Rapid Response Co-ordination","0370 000 2288","N/D","DFE-2633","1598886","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2385","Jenny Oldroyd","SCS2","Director","Director of Curriculum and General Qualifications","Department for Education","Department for Education","Curriculum and General Qualifications","0370 000 2288","N/D","DFE-2017","1641114","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2392","N/D","SCS1","Deputy Director","Enterprise Data for Insight Deputy Director","Department for Education","Department for Education","Enterprise Data for Insight","0370 000 2288","N/D","DFE-2553","4601236","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2393","N/D","SCS1","Deputy Director","Best Start Family Service Design Division Deputy Director","Department for Education","Department for Education","Best Start Family Service Design Division","0370 000 2288","N/D","DFE-2546","1725696","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2398","N/D","SCS1","Deputy Director","Counter Extremism and Non-School Education Deputy Director","Department for Education","Department for Education","Counter Extremism and Non-School Education","0370 000 2288","N/D","DFE-2078","2302621","0.90","N/A","N/A","","Other","London","nan","1"
"DFE-2400","N/D","SCS1","Deputy Director","Insight and Statistics Deputy Director","Department for Education","Department for Education","Insight and Statistics","0370 000 2288","N/D","DFE-2534","3687321","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2401","N/D","SCS1","Deputy Director","Family Support Deputy Director","Department for Education","Department for Education","Family Support","0370 000 2288","N/D","DFE-2320","2547423","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2403","N/D","SCS1","Deputy Director","Regions Group: East of England and Schools Strategic Delivery Division Deputy Director","Department for Education","Department for Education","Regions Group: East of England and Schools Strategic","0370 000 2288","N/D","DFE-2083","490701","1.00","N/A","N/A","","Other","South West","nan","1"
"DFE-2406","N/D","SCS1","Deputy Director","Regions Group: West Midlands Deputy Director","Department for Education","Department for Education","Regions Group: West Midlands","0370 000 2288","N/D","DFE-2090","2577816","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2407","N/D","SCS1","Deputy Director","HR Organisation Design, Development & Engagement Deputy Director","Department for Education","Department for Education","HR Organisation Design, Development & Engagement","0370 000 2288","N/D","DFE-2566","1572358","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2409","N/D","SCS1","Deputy Director","Regions Group: North East Deputy Director","Department for Education","Department for Education","Regions Group: North East","0370 000 2288","N/D","DFE-2056","1417129","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2418","N/D","SCS1","Deputy Director","English, Maths, Music & Arts Deputy Director","Department for Education","Department for Education","English, Maths, Music & Arts","0370 000 2288","N/D","DFE-2385","2614941","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2423","N/D","SCS1","Deputy Director","Work Based Skills Operations and Performance Deputy Director","Department for Education","Department for Education","Work Based Skills Operations and Performance","0370 000 2288","N/D","DFE-2129","1421917","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2432","N/D","SCS1","Deputy Director","International Strategy & Partnerships Deputy Director","Department for Education","Department for Education","International Strategy & Partnerships","0370 000 2288","N/D","DFE-2517","1629764","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2434","N/D","SCS1","Deputy Director","Analysis and Insight Deputy Director","Department for Education","Skills England","Analysis and Insights","0370 000 2288","N/D","DFE-2522","1284663","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2439","N/D","SCS1","Deputy Director","Regions Group: South East Deputy Director","Department for Education","Department for Education","Regions Group: South East","0370 000 2288","N/D","DFE-2082","2721656","0.80","N/A","N/A","","Other","London","nan","1"
"DFE-2443","N/D","SCS1","Deputy Director","CSC Regional Cooperatives and Fostering Deputy Director","Department for Education","Department for Education","CSC Regional Cooperatives and Fostering","0370 000 2288","N/D","DFE-2671","682977","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2446","N/D","SCS1","Deputy Director","Regions Group: Yorkshire & Humber and National CSC and BSiL Deputy Director","Department for Education","Department for Education","Regions Group: Yorkshire & Humber and National CSC and BSiL","0370 000 2288","N/D","DFE-2555","0","0.60","N/A","N/A","","Other","London","nan","1"
"DFE-2454","N/D","SCS1","Deputy Director","Financial Reporting Deputy Director","Department for Education","Department for Education","Financial Reporting","0370 000 2288","N/D","DFE-2565","2593727","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2456","N/D","SCS1","Deputy Director","Life Skills Deputy Director","Department for Education","Department for Education","Life Skills","0370 000 2288","N/D","DFE-2326","1754357","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
